org_id,org_name_norm,org_name,country,city,org_type,budget_total_received,nb_projects,latitude,longitude
AR_INSTITUTO_NACIONAL_DE_TECNOLOGIA_INDUSTRIAL_f4b38af486,INSTITUTO NACIONAL DE TECNOLOGIA INDUSTRIAL,INSTITUTO NACIONAL DE TECNOLOGIA INDUSTRIAL,AR,Buenos Aires,REC,0.0,4,-26.1466522,-59.5959568
AR_INVAP_SOCIEDAD_DEL_ESTADO_71e5a7dcfe,INVAP SOCIEDAD DEL ESTADO,INVAP SOCIEDAD DEL ESTADO,AR,San Carlos De Bariloche,PRC,0.0,1,-41.1334672,-71.3099936
AR_LUCIANO_HERNANDEZ_582ea4f0d5,LUCIANO HERNANDEZ,LUCIANO HERNANDEZ,AR,,PRC,12825.0,1,-31.6186951,-60.7019561
AR_MCAFEE_ARGENTINA_S_A_b9ff7344fc,MCAFEE ARGENTINA S A,MCAFEE ARGENTINA S.A.,AR,Cordoba,PRC,0.0,1,-31.4173391,-64.183319
AR_MINISTERIO_DE_CIENCIA_TECNOLOGIA_E_INNOVACION_b80b1922da,MINISTERIO DE CIENCIA TECNOLOGIA E INNOVACION,"MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION",AR,Buenos Aires,PUB,719092.79,14,-34.5823759,-58.429347621941815
AR_MINISTERIO_DE_CIENCIA_TECNOLOG_A_E_INNOVACI_N_PRODUCTIVA_9bda0ea4f1,MINISTERIO DE CIENCIA TECNOLOG A E INNOVACI N PRODUCTIVA,"Ministerio de Ciencia, Tecnología e Innovación Productiva",AR,Buenos Aires,PUB,148937.6,13,-34.5988568142857,-58.3787943244898
AR_MINISTERIO_DE_CULTURA_DE_LA_NACI_N_8d5452c1d6,MINISTERIO DE CULTURA DE LA NACI N,MINISTERIO DE CULTURA DE LA NACIÓN,AR,Buenos Aires,PUB,0.0,2,-36.0174327244898,-60.00183965510204
AR_MINISTERIO_DE_EDUCACION_CULTURA_CIENCIA_Y_TECNOLOGIA_294534fd91,MINISTERIO DE EDUCACION CULTURA CIENCIA Y TECNOLOGIA,"MINISTERIO DE EDUCACION, CULTURA, CIENCIA Y TECNOLOGIA",AR,Caba,PUB,0.0,1,-49.3012445,-67.73443
AR_MINISTERIO_DE_RELACIONES_EXTERIORES_Y_CULTO_9efeea1374,MINISTERIO DE RELACIONES EXTERIORES Y CULTO,MINISTERIO DE RELACIONES EXTERIORES Y CULTO,AR,Buenos Aires,PUB,0.0,1,-34.593868,-58.3786164
AR_MUNICIPALIDAD_DE_GENERAL_SAN_MARTIN_ac01301ee7,MUNICIPALIDAD DE GENERAL SAN MARTIN,MUNICIPALIDAD DE GENERAL SAN MARTIN,AR,San Martin,PUB,125000.0,1,-34.57749224489796,-58.53727265306122
AR_MUSEO_DE_SITIO_ESMA_EX_CENTRO_CLANDESTINO_DE_DETENCI_N_TORTU_c3833d6c83,MUSEO DE SITIO ESMA EX CENTRO CLANDESTINO DE DETENCI N TORTURA Y EXTERMINIO,"MUSEO DE SITIO ESMA - EX CENTRO CLANDESTINO DE DETENCIÓN, TORTURA Y EXTERMINIO",AR,Buenos Aires,PUB,0.0,1,-34.5400103,-58.4639770689363
